x,y,w,h,angle
212.34,100.19,22.03,22.06,0
246.03,103.02,15.95,19.34,0.42
296.73,115.44,20.45,20.79,-28.29
343.76,120.20,32.04,36.76,-13.92
392.60,138.84,18.98,36.31,-22.25
525.32,147.99,13.69,29.60,-6.08
422.79,150.36,32.44,36.81,-20.89
474.93,170.27,12.35,36.75,-20.89
505.08,185.91,22.57,30.76,-18.98
537.03,196.90,21.05,29.09,-12.24
165.24,134.68,16.19,28.08,-13.25
201.02,137.1,33.35,13.51,0
209.25,163.32,28.08,16.19,-33.04
248.96,163.22,15.96,19.40,0.42
280.67,170.08,21.09,22.49,-0.80
323.53,169.67,12.79,36.36,-22.25
390.10,195.08,44.07,36.41,-20.89
448.63,217.42,17.28,36.35,-20.89
501.41,234.02,28.67,17.56,-11.82
535.97,241.25,14.25,18.33,-11.82
246.19,190.27,21.71,12.78,-34.72
277.14,210.50,16.49,12.78,-34.72
308.90,219.44,12.25,24.57,-34.72
338.57,233.98,22.46,28.86,-34.72
369.43,259.62,24.31,24.08,-34.72
413.64,268.97,32.09,41.23,-34.72
493.02,270.41,32.55,25.93,-15.82
532.73,281.67,14.81,25.93,-15.82
151.91,184.08,19.74,19.94,-14.52
207.96,208.65,30.35,18.61,-24.15
248.71,231.37,15.79,17.35,-33.58
160.98,222.11,21.71,12.78,3.18
445.42,296.47,14.31,27.76,-27.84
482.00,309.48,20.62,23.46,-15.82
520.71,320.25,15.85,23.63,-15.55
542.24,351.92,16.43,16.76,-13.97
161.09,267.21,21.71,12.78,3.18
201.64,263.40,30.35,18.61,3.35
278.21,263.96,19.52,18.42,0
319.07,278.94,27.21,17.35,-33.58
350.84,303.34,15.79,17.35,-33.58
373.04,334.14,17.35,31.59,56.42
432.66,350.41,15.79,17.35,-33.58
470.72,349.52,19.26,16.36,-15.82
506.35,359.61,18.93,16.36,-15.82
162.51,292.73,21.71,12.78,3.18
203.26,291.13,30.35,13.01,3.38
167.84,317.67,16.49,12.78,-34.72
204.71,315.94,23.55,18.61,3.38
244.55,308.39,24.68,24.94,0
291.16,330.06,19.20,15.27,-22.25
324.34,342.51,19.70,15.27,-22.25
389.80,306.00,32.99,14.41,-25.70
463.22,376.11,20.54,31.32,-15.82
499.54,386.40,18.18,30.39,-15.82
536.10,410.26,17.92,28.08,-30.89
150.06,361.38,22.37,46.94,0
203.82,369.89,21.71,12.78,3.18
281.41,353.76,13.73,15.27,-22.25
316.23,362.99,19.20,15.27,-23.41
266.89,372.76,19.20,15.27,-22.25
306.85,384.60,19.20,15.27,-22.25
349.93,380.40,17.20,22.52,-24.04
398.18,395.44,6.96,14.79,-18.31
418.30,386.65,16.27,28.74,-17.19
452.74,413.27,19.69,11.78,-15.62
383.42,413.83,16.97,14.38,-19.24
405.97,424.32,22.58,13.81,-21.71
456.64,444.16,38.60,21.02,15.51
515.63,469.78,27.56,12.25,17.22
521.65,490.14,17.96,13.55,17.22
260.33,404.82,25.28,14.26,-22.25
340.04,425.39,14.51,28.65,-23.47
398.50,449.05,26.27,21.38,-26.85
480.81,483.04,28.06,13.62,-47.85
473.46,505.91,16.10,15.22,-47.85
508.80,516.69,14.98,17.25,17.22
485.13,533.54,14.98,17.25,17.22
211.56,416.31,28.81,33.98,-24.04
295.15,435.86,28.98,12.23,-24.04
105.44,410.57,12.20,17.50,-24.55
126.52,419.09,12.20,17.50,-24.55
93.85,435.68,12.20,17.50,-24.55
169.61,428.03,13.64,27.18,-18.72
251.96,444.79,15.11,33.98,-24.04
278.11,479.64,27.98,37.87,-24.04
320.23,471.03,16.05,12.33,-24.04
343.16,481.37,22.42,12.23,-24.04
404.79,513.83,18.60,18.03,-27.74
199.06,464.46,22.95,12.23,-24.04
318.15,491.97,19.99,14.43,-19.60
345.49,510.39,13.88,12.23,-24.04
424.92,551.93,13.88,12.23,-24.04
453.71,553.08,12.87,20.64,-21.30
470.75,588.98,10.95,12.99,9.68
94.94,480.09,34.51,18.72,-2.83
164.30,484.24,16.90,23.06,-2.67
198.54,493.16,11.63,25.60,-24.71
228.47,497.45,15.11,32.36,-24.04
238.01,536.61,35.13,17.64,41.13
337.98,547.25,19.50,12.13,-40.83
385.84,575.75,26.45,17.10,-35.31
432.35,612.07,17.52,15.98,-46.18
451.76,623.47,13.44,25.33,-46.22
290.13,550.24,29.76,15.27,-38.94
335.27,568.72,14.12,13.38,-38.94
373.00,597.38,15.55,23.28,-33.19
395.24,610.67,15.55,23.28,-33.19
424.43,649.12,11.60,21.41,-50.18
81.13,511.62,15.19,16.47,-19.02
109.10,521.26,13.50,16.47,-19.02
143.71,539.09,18.21,17.50,29.63
191.14,542.62,25.32,15.57,-24.04
257.03,571.73,18.64,11.49,-24.41
283.65,589.78,17.09,11.52,-24.41
311.36,602.36,13.30,13.56,-24.41
339.98,632.09,21.69,11.55,-36.73
369.44,654.08,15.28,20.37,-36.73
391.51,670.55,7.66,20.37,-36.73
237.73,585.54,13.60,12.99,-24.48
256.32,593.13,13.60,12.99,-24.48
273.57,615.10,10.21,12.65,-28.67
300.44,621.95,14.33,18.91,-32.24
327.80,648.41,21.69,19.88,-35.73
97.62,557.49,17.69,17.13,-10.08
193.11,585.04,17.69,17.13,-10.08
181.63,609.19,22.27,16.93,-22.21
227.24,608.23,13.62,32.86,-22.21
242.72,631.28,18.48,21.38,-26.85
272.32,651.61,22.64,14.98,-36.73
345.37,686.33,15.28,19.65,-36.73
367.44,702.81,7.66,19.65,-36.73
383.95,715.13,12.92,19.66,-36.73
104.21,601.19,13.13,13.13,-10.82
77.31,616.91,13.13,13.13,-10.82
100.97,620.88,13.13,13.13,-10.82
138.14,627.98,14.30,17.19,-10.82
133.06,654.58,14.30,31.57,-10.82
123.78,693.11,17.69,25.70,-10.82
162.30,674.66,9.78,11.22,9.68
191.19,651.63,23.07,14.23,-20.18
226.06,664.50,25.06,15.20,-32.10
260.55,675.18,26.37,23.85,-31.32
304.15,680.09,21.69,30.22,-36.73
326.92,711.06,15.28,19.02,-36.73
348.99,727.53,7.66,19.02,-36.73
357.39,742.98,14.70,14.70,9.68
85.35,680.66,18.77,16.36,-15.26
75.93,701.25,13.85,18.58,-22.62
68.13,728.78,13.85,15.12,-22.62
183.22,702.28,15.46,29.07,-24.98
169.97,734.22,13.26,20.28,-24.98
222.02,703.80,14.05,21.84,-21.10
232.14,735.92,27.02,15.41,-13.94
283.19,725.92,14.07,14.87,-26.53
329.81,743.37,9.20,15.32,-38.43
351.42,756.85,9.20,15.32,-38.43
304.63,752.30,10.91,19.83,-38.43
328.87,772.08,14.04,19.83,-38.43
256.97,764.07,19.58,9.20,22.67
192.56,761.03,21.83,22.32,9.68
82.87,762.31,7.10,18.22,-8.04
70.14,784.16,16.65,18.22,-8.04
116.47,750.93,16.04,43.68,-13.55
153.17,770.58,13.42,23.86,-16.85
245.98,774.44,17.65,22.11,-37.76
286.96,774.44,17.71,15.32,-36.77
270.42,792.90,10.91,19.83,-38.43
291.99,801.78,9.20,20.14,-38.93
309.78,802.57,12.19,11.78,9.68
87.81,819.43,16.31,21.20,9.68
134.24,816.57,6.72,13.22,49.32
185.44,793.54,14.43,21.80,9.68
118.66,852.00,9.60,10.59,9.68
140.87,848.37,17.69,10.59,9.68
165.88,864.29,10.07,17.10,9.68
178.43,826.68,30.63,12.34,9.68
190.93,853.59,26.56,10.23,24.92
226.43,831.29,14.41,11.47,24,87
201.21,877.03,28.73,17.33,24.87
236.12,851.40,22.38,6.62,24.87
241.47,865.21,22.38,13.24,24.87
268.18,842.78,13.99,20.70,51.57
